	 	Differential rates for pion production
	    (multiplied by the energy bin size = probability)
    Energy in	  Energy out   same flavor    p -> n	     n -> p
  1.414880e+19  1.587519e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  1.781226e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  1.998570e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  2.242433e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  2.516053e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  2.823052e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  3.167518e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  3.554016e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  3.987673e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  4.474244e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  5.020176e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  5.632733e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  6.320033e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  7.091196e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  7.956457e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  8.927276e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  1.001657e+23  0.000000e+00  0.000000e+00  0.000000e+00
  1.587519e+19  1.001657e+19  1.184107e-11  1.843934e-11  3.253882e-11
  1.587519e+19  1.123878e+19  3.278309e-11  4.748497e-11  7.047821e-11
  1.587519e+19  1.261013e+19  6.709575e-11  7.012851e-11  9.279921e-11
  1.587519e+19  1.414880e+19  7.440614e-11  3.609677e-11  3.665557e-11
  1.587519e+19  1.587519e+19  0.000000e+00  7.948736e-12  6.751651e-12
  1.587519e+19  1.781226e+19  0.000000e+00  0.000000e+00  0.000000e+00
  1.587519e+19  1.998570e+19  0.000000e+00  0.000000e+00  0.000000e+00
  1.587519e+19  2.242433e+19  0.000000e+00  0.000000e+00  0.000000e+00
  1.587519e+19  2.516053e+19  0.000000e+00  0.000000e+00  0.000000e+00
  1.587519e+19  2.823052e+19  0.000000e+00  0.000000e+00  0.000000e+00
